ACCESSION: MycoMSB-HZI-000579
RECORD_TITLE: Colposetin A; timsTOF; MS2; CE:34.7; [M+H]+
DATE: 2026.06.26
AUTHORS: Unknown
LICENSE: CC BY
COPYRIGHT: Helmholtz Centre for Infection Research (HZI)
SP$SCIENTIFIC_NAME: Colpoma sp.
PUBLICATION: doi:10.3390/biom11060783
COMMENT: Converted from Bruker MetaboScape .library export
CH$NAME: Colposetin A
CH$FORMULA: C26H37NO7
CH$EXACT_MASS: 475.2570
CH$SMILES: CC(=O)O[C@H](C(=O)O)[C@@H](C)[C@@H]1C(C)=C[C@@H]2C[C@H](C)CC[C@H]2[C@]1(C)C(O)=C1C(=O)[C@@H](C)N(C)C1=O
CH$IUPAC: InChI=1S/C26H37NO7/c1-12-8-9-18-17(10-12)11-13(2)20(14(3)22(25(32)33)34-16(5)28)26(18,6)23(30)19-21(29)15(4)27(7)24(19)31/h11-12,14-15,17-18,20,22,30H,8-10H2,1-7H3,(H,32,33)/t12-,14+,15-,17+,18-,20+,22+,26+/m1/s1
CH$LINK: INCHIKEY XWTALPIXEKTSAZ-NXCOISIBSA-N
AC$INSTRUMENT: timsTOF Pro, Bruker Daltonics
AC$INSTRUMENT_TYPE: timsTOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 34.69767441860465
AC$MASS_SPECTROMETRY: CCS 182.95974731445312
MS$FOCUSED_ION: BASE_PEAK 476.26428
MS$FOCUSED_ION: PRECURSOR_M/Z 476.26428
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
MS$DATA_PROCESSING: Converted with library_to_massbank.py
PK$SPLASH: splash10-0udi-0988200000-a79fd361f957fa8793a8
PK$NUM_PEAK: 461
PK$PEAK: m/z int. rel.int.
  216.18368 0.0569948 57
  217.11771 0.0120615 12
  217.14873 0.0162236 16
  217.15564 0.00840907 8
  217.18331 0.0163085 16
  217.19680 0.0657437 66
  218.11561 0.0107874 11
  218.19185 0.0118067 12
  219.17494 0.00738979 7
  219.20505 0.0124013 12
  220.09690 0.0132507 13
  220.13471 0.00772955 8
  221.08030 0.00866389 9
  221.14077 0.00925847 9
  222.11526 0.0132507 13
  223.11304 0.00620063 6
  223.15043 0.00577593 6
  224.12588 0.011382 11
  224.16510 0.0239531 24
  225.16361 0.138198 138
  225.17621 0.00764461 8
  226.16434 0.0117217 12
  226.17254 0.00798437 8
  227.10978 0.00628557 6
  227.17884 0.187378 187
  227.19893 0.0141001 14
  228.14245 0.015629 16
  228.17653 0.0418755 42
  228.18362 0.0349953 35
  229.15566 0.0263314 26
  230.11816 0.0192814 19
  230.14901 0.00560605 6
  231.06590 0.00679521 7
  231.14913 0.00900365 9
  231.17767 0.00628557 6
  232.13474 0.0107874 11
  233.13917 0.00900365 9
  233.15564 0.0279453 28
  233.18913 0.070925 71
  233.19888 0.00696509 7
  234.11465 0.00611569 6
  234.15294 0.0101079 10
  234.19411 0.0258218 26
  236.12459 0.00772955 8
  238.14312 0.00738979 7
  239.14110 0.00628557 6
  240.13874 0.0119766 12
  240.18237 0.00713497 7
  241.12388 0.00874883 9
  241.15578 0.0231037 23
  241.16201 0.0231037 23
  242.15241 0.0236134 24
  242.15972 0.0152892 15
  243.13923 0.00577593 6
  243.17254 0.255415 255
  244.13113 0.0400068 40
  244.17704 0.082222 82
  245.09930 0.00552111 6
  245.12379 0.0101079 10
  245.15318 0.00620063 6
  245.18948 0.104391 104
  246.11000 0.0151193 15
  246.13872 0.00654039 7
  246.19234 0.0208103 21
  247.12133 0.0107025 11
  247.16559 0.0139302 14
  247.17297 0.00611569 6
  248.13201 0.015544 16
  248.15024 0.00645545 6
  248.16531 0.0337212 34
  249.15660 0.00866389 9
  253.15695 0.0569099 57
  254.16159 0.00662533 7
  255.18255 0.0107025 11
  256.13164 0.0160537 16
  257.13028 0.0149495 15
  257.13780 0.00679521 7
  258.14855 0.0469719 47
  258.15969 0.00620063 6
  259.15591 0.00509641 5
  260.12882 0.0122314 12
  260.15404 0.0106175 11
  260.16666 0.00730485 7
  261.18062 0.111102 111
  262.14204 0.0486707 49
  262.18646 0.0121464 12
  263.16504 0.00696509 7
  263.17772 0.00934341 9
  263.18787 0.0151193 15
  263.20237 0.0419604 42
  264.15975 0.0134205 13
  264.20391 0.00560605 6
  265.14548 0.00738979 7
  265.16680 0.0237832 24
  267.18704 0.00518135 5
  269.13633 0.0105326 11
  269.18253 0.00755967 8
  269.21332 0.00730485 7
  270.10978 0.00569099 6
  270.14571 0.0469719 47
  270.25634 0.00611569 6
  271.16902 0.0753419 75
  272.12388 0.0216597 22
  272.13162 0.0120615 12
  272.17070 0.0943685 94
  273.16624 0.0215748 22
  274.14136 0.0364393 36
  274.17136 0.0441689 44
  274.17955 0.0548713 55
  275.18367 0.0125711 13
  275.19893 0.0131657 13
  276.11733 0.00857895 9
  276.13033 0.00747473 7
  276.15750 0.114244 114
  276.16932 0.00662533 7
  276.18231 0.00772955 8
  277.16381 0.0431496 43
  277.19190 0.0165633 17
  278.13641 0.0180922 18
  278.16361 0.024123 24
  278.17192 0.00535123 5
  279.16940 0.00849401 8
  279.19240 0.108723 109
  280.13806 0.0228489 23
  280.19271 0.0208953 21
  281.12710 0.0214898 21
  281.20222 0.0172428 17
  282.14628 0.00738979 7
  282.19095 0.00679521 7
  284.12633 0.0129958 13
  284.14403 0.0107874 11
