ACCESSION: MycoMSB-HZI-003211
RECORD_TITLE: Beauverolide 483; timsTOF; MS2; CE:30.0; [M+H]+
DATE: 2026.06.26
AUTHORS: Charrià-Girón E, Surup F
LICENSE: CC BY
COPYRIGHT: Helmholtz Centre for Infection Research (HZI)
PUBLICATION: doi:10.3897/imafungus.16.172651
COMMENT: Converted from Bruker MetaboScape .library export
CH$NAME: Beauverolide 483
CH$FORMULA: C24H41N3O7
CH$EXACT_MASS: 483.2945
CH$SMILES: C
CH$IUPAC: InChI=1S/CH4/h1H4
CH$LINK: INCHIKEY N/A
SP$SCIENTIFIC_NAME: Cordyceps javanica
AC$INSTRUMENT: timsTOF Pro, Bruker Daltonics
AC$INSTRUMENT_TYPE: TIMS-TOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 30.0
AC$MASS_SPECTROMETRY: CCS 216.45880126953125
MS$FOCUSED_ION: BASE_PEAK 484.30173
MS$FOCUSED_ION: PRECURSOR_M/Z 484.30173
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
MS$DATA_PROCESSING: Converted with library_to_massbank.py
PK$SPLASH: splash10-00xv-0889600000-bc5af37de727e38f9b3f
PK$NUM_PEAK: 359
PK$PEAK: m/z int. rel.int.
  117.06884 0.0059434 6
  119.08437 0.0655402 65
  121.10043 0.0312603 31
  122.10206 0.00519044 5
  123.11617 0.0195983 20
  126.05376 0.0519429 52
  129.06822 0.00728488 7
  131.08553 0.0431569 43
  133.10124 0.0387134 39
  135.07879 0.00583436 6
  135.11542 0.0258028 26
  137.09466 0.00523278 5
  137.13256 0.00564232 6
  138.05295 0.0127072 13
  139.11000 0.00582404 6
  140.03318 0.123675 124
  141.03624 0.00566715 6
  143.08566 0.0223613 22
  144.06422 0.207107 207
  144.08879 0.0106215 11
  145.06878 0.0110847 11
  145.10004 0.0471903 47
  146.10206 0.00616512 6
  147.08035 0.0107974 11
  147.11658 0.0911654 91
  148.11832 0.00512153 5
  149.09513 0.008828 9
  149.13188 0.0470251 47
  151.11065 0.0050471 5
  152.03363 0.0808246 81
  152.06955 0.017823 18
  153.03215 0.00530297 5
  155.08404 0.00830913 8
  156.06422 0.133533 133
  157.06781 0.00699757 7
  157.10132 0.0228522 23
  158.10571 0.00566155 6
  159.11564 0.0529953 53
  161.09443 0.00975014 10
  161.13134 0.18484 185
  162.13447 0.0282277 28
  163.11090 0.00630778 6
  163.14789 0.0636831 64
  164.06742 0.0074057 7
  165.12639 0.00730529 7
  168.06404 0.00823561 8
  169.10060 0.021633 22
  170.04774 0.759466 759
  170.08086 0.0841826 84
  171.04828 0.0508848 51
  171.08146 0.00682897 7
  171.11698 0.041744 42
  172.06072 0.00816573 8
  173.05707 0.0054538 5
  173.13104 0.116683 117
  174.13554 0.0150141 15
  175.14749 0.109754 110
  176.15111 0.0082435 8
  177.12569 0.00751607 8
  177.16295 0.265623 265
  178.08553 0.00729812 7
  178.16551 0.0295363 30
  180.10108 0.00518406 5
  182.07899 0.0361569 36
  183.08253 0.00617971 6
  183.11661 0.0338359 34
  184.09556 0.0449153 45
  185.13175 0.0642601 64
  186.07512 0.0342235 34
  186.13508 0.0129912 13
  187.11186 0.0131992 13
  187.14928 0.109588 109
  188.15046 0.020537 21
  189.12752 0.0133397 13
  189.16329 0.0448919 45
  190.16569 0.00738496 7
  191.14314 0.0234715 23
  191.17820 0.0552645 55
  192.10340 0.00639658 6
  192.18100 0.00700501 7
  195.11885 0.00518061 5
  196.05992 0.0463234 46
  196.09623 0.0350506 35
  197.13177 0.0189882 19
  198.07564 0.0192453 19
  198.11185 0.0224174 22
  198.14034 0.00569444 6
  199.14952 0.0676693 68
  200.09097 0.143682 144
  200.15022 0.0128802 13
  201.09398 0.0190439 19
  201.16323 0.0518898 52
  202.16169 0.00575815 6
  203.14150 0.0645052 64
  203.18042 0.0145351 15
  204.10063 0.0158872 16
  204.14491 0.00613598 6
  205.15801 0.0117123 12
  208.09584 0.0172874 17
  209.13135 0.00774592 8
  210.11088 0.0302107 30
  211.11354 0.00515088 5
  211.14719 0.0484296 48
  212.09001 0.0395199 39
  212.12459 0.0050071 5
  212.15295 0.0148984 15
  213.16318 0.0591905 59
  215.14247 0.00518434 5
  215.17965 0.0587462 59
  216.10035 0.0117833 12
  216.18418 0.0105192 11
  217.15834 0.00540157 5
  217.19495 0.0126197 13
  218.11660 0.0176706 18
  219.17735 0.00588781 6
  220.09655 0.00567351 6
  222.11413 0.283351 283
  223.11469 0.032268 32
  223.14768 0.00882993 9
  224.12744 0.00838231 8
  225.13024 0.00792815 8
  225.16416 0.0472235 47
  226.10798 0.013219 13
  226.16995 0.00750995 8
  227.14384 0.00519384 5
  227.17973 0.0774689 77
  228.18561 0.0159304 16
  229.15823 0.0111561 11
  229.19519 0.0147827 15
  230.11613 0.0102687 10
  231.12089 0.00647083 6
  231.17374 0.00627014 6
  232.13418 0.00899832 9
  234.11350 0.0394298 39
  234.15093 0.00890339 9
  235.11777 0.00822184 8
  236.12752 0.0808442 81
  237.13008 0.00794744 8
  237.16299 0.00652984 7
  238.10793 0.0106516 11
  238.14328 0.036034 36
  239.18041 0.0271928 27
  241.15861 0.00510383 5
  241.19552 0.144554 144
  242.11910 0.00913272 9
  242.19988 0.0216705 22
  243.17479 0.0118509 12
  243.21067 0.0157431 16
  244.09794 0.010656 11
  244.13589 0.00509619 5
  244.21164 0.00520555 5
  246.11046 0.00539619 5
  246.14720 0.00927228 9
  248.08995 0.00793569 8
  248.12774 0.100748 101
  249.13128 0.0237056 24
  250.10744 0.025704 26
  250.14661 0.0345715 35
  251.18078 0.00745046 7
  252.15858 0.00605577 6
  253.19488 0.029032 29
  254.13950 0.00589195 6
  254.20129 0.00520903 5
  255.21012 0.047379 47
  256.13106 0.00590597 6
  256.21196 0.00800874 8
  257.18967 0.00704377 7
  257.22642 0.0128181 13
  258.11382 0.00527307 5
  260.12728 0.01739 17
  262.10641 0.00987676 10
  262.14455 0.0675143 67
  264.12488 0.0170837 17
  264.15977 0.0501741 50
  265.16407 0.00760216 8
  265.19663 0.0108492 11
  266.13857 0.018755 19
  267.14244 0.0054037 5
  267.21135 0.0939102 94
  268.15590 0.00809042 8
  268.21215 0.0175944 18
  269.22642 0.0865409 86
  270.22843 0.014394 14
  271.20722 0.0061214 6
  271.24173 0.0222804 22
  272.12482 0.00938442 9
  272.16568 0.00537943 5
  274.10537 0.00516915 5
  274.14334 0.0349018 35
  275.14890 0.0064223 6
  276.12134 0.0179226 18
