ACCESSION: MycoMSB-HZI-003305
RECORD_TITLE: Xanthoquinodin B12; timsTOF; MS2; CE:40.02325581395349; [M+H]+
DATE: 2026.06.26
AUTHORS: Charrià-Girón E, Surup F
LICENSE: CC BY
COPYRIGHT: Helmholtz Centre for Infection Research (HZI)
PUBLICATION: doi:10.3390/jof6040188
COMMENT: Converted from Bruker MetaboScape .library export
CH$NAME: Xanthoquinodin B12
CH$FORMULA: C35H32O13
CH$EXACT_MASS: 660.1843
CH$SMILES: C
CH$IUPAC: InChI=1S/C35H33O13/c1-4-5-21(40)47-32-16-8-13(2)9-17(36)23(16)29(43)25-27(41)15-6-7-34(25,32)12-14-10-18(37)24-30(44)26-28(42)19(38)11-20(39)35(26,33(45)46-3)48-31(24)22(14)15/h6-10,15,19-20,27,32,36-39,41-42H,4-5,11-12H2,1-3H3/t15-,19-,20-,27?,32-,34-,35+/m0/s1
CH$LINK: INCHIKEY FMBSYEPYXXBTGH-ZIYRBHPRSA-N
SP$SCIENTIFIC_NAME: Jugulospora vestita
AC$INSTRUMENT: timsTOF Pro, Bruker Daltonics
AC$INSTRUMENT_TYPE: TIMS-TOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 40.02325581395349
AC$MASS_SPECTROMETRY: CCS 255.88577270507812
MS$FOCUSED_ION: BASE_PEAK 661.19157
MS$FOCUSED_ION: PRECURSOR_M/Z 661.19157
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
MS$DATA_PROCESSING: Converted with library_to_massbank.py
PK$SPLASH: splash10-0ftb-0012973000-3f72cbbce4fdfd11422f
PK$NUM_PEAK: 347
PK$PEAK: m/z int. rel.int.
  125.02217 0.0235317 24
  135.00575 0.0105912 11
  137.02301 0.0249567 25
  139.03696 0.0124783 12
  139.04212 0.0124783 12
  143.03245 0.00639322 6
  151.03833 0.0148277 15
  153.01714 0.109725 110
  157.04784 0.0103601 10
  163.00077 0.0208743 21
  163.03680 0.0122858 12
  167.03292 0.0587714 59
  169.04885 0.0122473 12
  179.03397 0.0114 11
  181.01376 0.0283073 28
  181.02101 0.0176006 18
  185.04372 0.102446 102
  186.04333 0.0154824 15
  186.04973 0.0106682 11
  195.03023 0.123012 123
  197.03545 0.00539187 5
  205.01430 0.00947429 9
  211.07534 0.0118236 12
  213.03984 0.0428269 43
  224.07980 0.00654728 7
  227.07037 0.0111304 11
  228.04190 0.00947429 9
  229.04961 0.0153668 15
  230.05307 0.00966686 10
  231.06774 0.00666282 7
  239.06896 0.0778741 78
  240.07424 0.011554 12
  241.05074 0.00735606 7
  243.06660 0.0125554 13
  244.06801 0.0103601 10
  250.08450 0.00516079 5
  255.06674 0.0264587 26
  256.07197 0.0409397 41
  257.04386 0.0697863 70
  258.05267 0.0492201 49
  259.02877 0.00519931 5
  259.05609 0.0146736 15
  260.06564 0.00824186 8
  261.07353 0.0137108 14
  263.04966 0.00573849 6
  264.11119 0.00774119 8
  267.06247 0.0108223 11
  269.04283 0.00535336 5
  271.05555 0.00751011 8
  275.05319 0.00647025 6
  276.06194 0.143925 144
  276.07546 0.00881956 9
  277.06445 0.020104 20
  277.08202 0.0089351 9
  285.03602 0.0127479 13
  286.04208 0.00558444 6
  289.06128 0.0214905 21
  289.07062 0.0404391 40
  289.08192 0.00824186 8
  291.09996 0.0183709 18
  292.10552 0.00500674 5
  293.12522 0.00527633 5
  307.09529 0.0138648 14
  313.09148 0.00739457 7
  315.10076 0.0179858 18
  317.06578 0.031581 32
  317.08329 0.0102831 10
  318.06854 0.00712498 7
  319.08584 0.00970537 10
  319.09537 0.0155979 16
  329.08305 0.00519931 5
  331.09240 0.0181783 18
  332.10407 0.0213749 21
  333.07851 0.0162141 16
  333.11004 0.169497 169
  333.13264 0.00519931 5
  334.11332 0.0481032 48
  335.07602 0.0756788 76
  335.11126 0.00569998 6
  336.07862 0.00589255 6
  336.09234 0.00847294 8
  341.07760 0.0154439 15
  342.08930 0.0208357 21
  343.09589 0.0592336 59
  344.09737 0.022954 23
  345.07187 0.00854997 9
  354.08633 0.00516079 5
  355.09512 0.0149817 15
  357.07076 0.0140574 14
  357.10599 0.00593106 6
  358.08291 0.011631 12
  359.08985 0.229848 230
  360.09647 0.163066 163
  361.06959 0.0201425 20
  361.10437 0.150472 150
  361.12140 0.00731754 7
  362.07239 0.00716349 7
  362.10918 0.0244175 24
  365.09587 0.00512228 5
  365.11554 0.00623917 6
  369.03981 0.00620065 6
  369.07328 0.0712112 71
  370.07839 0.0241864 24
  371.08075 0.00847294 8
  371.08931 0.00608511 6
  378.11356 0.00785673 8
  385.06861 0.0396303 40
  386.07729 0.0318121 32
  387.08592 0.222184 222
  387.10379 0.0110919 11
  388.09004 0.0456384 46
  397.05347 0.00970537 10
  397.10778 0.0184864 18
  398.11093 0.00643174 6
  401.10280 0.0119006 12
  403.08693 0.00631619 6
  404.09881 0.00739457 7
  405.09001 0.00627768 6
  405.11451 0.00758714 8
  405.12016 0.00758714 8
  406.07930 0.00596957 6
  407.09162 0.015752 16
  407.09540 0.015752 16
  408.10340 0.00523782 5
  409.10876 0.00955132 10
  411.08432 0.00500674 5
  411.11813 0.0271904 27
  412.12299 0.0126324 13
  413.10268 0.0111304 11
  413.14591 0.00858848 9
  414.09863 0.00500674 5
  419.11231 0.00612363 6
  419.12711 0.00905065 9
  420.09267 0.00797227 8
  421.10568 0.0340073 34
  422.11282 0.0132486 13
  423.08618 0.00623917 6
  423.12893 0.00650876 7
  424.08997 0.0153283 15
  424.12924 0.00731754 7
  425.09899 0.0714423 71
  426.10629 0.00512228 5
  427.11186 0.00697092 7
  431.08967 0.0124013 12
  432.10475 0.00566147 6
  433.10554 0.0554593 55
  434.08082 0.00581552 6
  434.10726 0.0221067 22
  435.08497 0.0265742 27
  435.10827 0.00539187 5
  436.08888 0.0192952 19
  437.10391 0.0066243 7
  437.14000 0.0066243 7
  438.10973 0.0114 11
  439.07786 0.00743308 7
  439.11672 0.132024 132
  440.12377 0.046139 46
  441.09649 0.116965 117
  442.09950 0.0378972 38
  443.09265 0.00562295 6
  443.11156 0.0170229 17
  444.11775 0.00947429 9
  447.12536 0.00512228 5
  447.13576 0.00620065 6
  449.10099 0.281379 281
  449.12241 0.00708646 7
  449.16145 0.0170999 17
  450.10415 0.0742538 74
  450.16200 0.0219141 22
  451.09368 0.0145966 15
  451.11516 0.0824957 82
  452.09368 0.00612363 6
  452.11355 0.0102446 10
  453.09536 0.127556 127
  454.10366 0.0357019 36
  455.10775 0.00724052 7
  457.12101 0.0139033 14
  459.08476 0.0456384 46
  459.09931 0.0108993 11
  460.09107 0.017331 17
  460.11156 0.00758714 8
  461.09994 0.074793 75
  462.10941 0.0457924 46
  463.11517 0.0146736 15
  464.08865 0.00797227 8
  465.10103 0.00712498 7
  465.13498 0.0236087 24
  466.10132 0.0100135 10
  467.11146 1 999
  467.13736 0.0113614 11
  468.07673 0.00824186 8
  468.11388 0.288735 288
  468.13872 0.00508377 5
  469.08908 0.0451377 45
  469.11653 0.0312344 31
  470.09214 0.00982091 10
  470.11442 0.0066243 7
  471.11844 0.00500674 5
  472.10628 0.0152513 15
  473.12455 0.0105527 11
  475.11206 0.0150202 15
  475.13746 0.0896206 90
  476.13542 0.0267283 27
  476.13931 0.0267283 27
  477.09630 0.38679 386
  477.12089 0.00847294 8
  478.10099 0.165569 165
  478.11918 0.0102831 10
  479.07309 0.0149432 15
  479.11124 0.22669 226
  479.13186 0.0127864 13
  480.08326 0.0352012 35
  480.11331 0.11866 119
  480.13801 0.00739457 7
  481.08582 0.0223763 22
  481.12281 0.0679761 68
  481.14659 0.00543039 5
  482.09086 0.00974389 10
  482.13426 0.015752 16
  483.10469 0.0427884 43
  483.14274 0.00916619 9
  484.09352 0.00650876 7
  484.11364 0.0147121 15
  485.12147 0.279915 280
  486.12742 0.0915078 91
  487.08136 0.0306567 31
  487.13008 0.00881956 9
  488.08591 0.0184479 18
  489.08411 0.00539187 5
  491.10971 0.0152128 15
  492.12363 0.00839592 8
  493.08789 0.0135952 14
  493.12938 0.044483 44
  493.14386 0.0112459 11
  494.09945 0.0119391 12
  494.13298 0.0232236 23
  495.10578 0.997189 996
  495.13058 0.0407086 41
  496.08267 0.0089351 9
  496.10952 0.402003 402
  497.08588 0.00932024 9
  497.11866 0.0776815 78
  498.09244 0.0118236 12
  498.12597 0.0241479 24
  499.13793 0.0945118 94
  500.14121 0.0149432 15
  501.11710 0.125438 125
  502.12071 0.0373195 37
  503.12842 0.00554593 6
  505.09086 0.218525 218
  506.09299 0.0976699 98
  506.11857 0.00504525 5
  507.09913 0.021452 21
  509.12181 0.198614 198
  510.12351 0.0680531 68
  510.14549 0.00789524 8
  511.09858 0.0317735 32
  511.13520 0.0731754 73
  511.16069 0.0113229 11
  512.10765 0.0147506 15
  512.13911 0.0395147 39
  513.11678 0.183978 184
  514.11944 0.104718 105
  515.12448 0.010129 10
  519.10717 0.0236857 24
  519.12611 0.229347 229
  519.15080 0.0123243 12
  520.10636 0.00539187 5
  520.12688 0.0800693 80
  523.10132 0.364991 365
  523.13609 0.00758714 8
  524.10246 0.135529 135
  524.13938 0.00508377 5
  525.10538 0.0144425 14
  525.11514 0.0124398 12
  525.12760 0.00797227 8
  527.13115 0.536337 536
  527.15906 0.0105527 11
  528.13745 0.176622 176
  529.10840 0.00631619 6
  529.14069 0.021606 22
  529.15504 0.00866551 9
  530.11536 0.00751011 8
  531.12444 0.00531485 5
  532.13045 0.00970537 10
  537.11730 0.267861 268
  538.12086 0.0818409 82
  539.11649 0.00743308 7
  541.11023 0.114192 114
  542.11989 0.0331985 33
  545.14267 0.187098 187
  546.14484 0.081918 82
  546.17479 0.00731754 7
  547.14942 0.0127479 13
  555.12639 0.551435 551
  555.16127 0.0414789 41
  556.13113 0.218101 218
  556.16120 0.0292317 29
  557.11801 0.00608511 6
  557.13308 0.0293472 29
  559.15058 0.00531485 5
  565.15250 0.0163682 16
  566.15464 0.00554593 6
  568.16962 0.00924321 9
  571.15562 0.00558444 6
  573.13748 0.190449 190
  574.13991 0.0879261 88
  575.12822 0.00982091 10
  575.15132 0.00704795 7
  582.18708 0.00543039 5
  583.15628 0.490622 490
  584.16155 0.204814 205
  585.15737 0.0140959 14
  585.17088 0.0169074 17
  589.16190 0.00889659 9
  592.14687 0.00577701 6
  593.14284 0.0810322 81
  594.14466 0.0362026 36
  595.15256 0.00650876 7
  597.17516 0.0218371 22
  598.17279 0.018756 19
  599.15338 0.0870017 87
  599.17788 0.0236857 24
  600.15824 0.0297323 30
  600.19689 0.0134797 13
  601.16839 0.922126 921
  601.19869 0.0194878 19
  601.38274 0.00673984 7
  601.51206 0.00704795 7
  602.17212 0.328327 328
  603.17183 0.0540728 54
  611.15212 0.348315 348
  611.18107 0.00889659 9
  612.15548 0.16892 169
  613.15731 0.0140959 14
  615.18589 0.0610822 61
  616.19254 0.0206432 21
  625.16535 0.0459465 46
  626.17084 0.0256114 26
  629.16925 0.00620065 6
  643.17710 0.248065 248
  644.17705 0.11477 115
  645.18424 0.0219141 22
  661.18977 0.146466 146
  661.21289 0.00700944 7
  662.19401 0.0682842 68
  663.19055 0.00932024 9
//
