ACCESSION: MycoMSB-HZI-002023
RECORD_TITLE: 3-Hydroxy-dihydropleurotinic acid; timsTOF; MS2; CE:34.348837209302324; [M+H]+
DATE: 2026.06.26
AUTHORS: Charrià-Girón E, Surup F
LICENSE: CC BY
COPYRIGHT: Helmholtz Centre for Infection Research (HZI)
PUBLICATION: doi:10.3390/molecules23102697
SP$SCIENTIFIC_NAME: Hohenbuehelia grisea MFLUCC 12-0451
COMMENT: Converted from Bruker MetaboScape .library export
CH$NAME: 3-Hydroxy-dihydropleurotinic acid
CH$FORMULA: C21H24O6
CH$EXACT_MASS: 372.1573
CH$SMILES: C[C@H]1CO[C@@H]2C3=C(C[C@@H]4[C@@]25CC[C@@]1([C@H]5CC[C@H]4C(=O)O)O)C(=O)C=CC3=O
CH$IUPAC: InChI=1S/C21H24O6/c1-10-9-27-18-17-12(14(22)3-4-15(17)23)8-13-11(19(24)25)2-5-16-20(13,18)6-7-21(10,16)26/h3-4,10-11,13,16,18,26H,2,5-9H2,1H3,(H,24,25)/t10-,11+,13-,16-,18+,20+,21+/m0/s1
CH$LINK: INCHIKEY CVALYSHQGNNHOX-HRNDHEOUSA-N
AC$INSTRUMENT: timsTOF Pro, Bruker Daltonics
AC$INSTRUMENT_TYPE: TIMS-TOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 34.348837209302324
AC$MASS_SPECTROMETRY: CCS 187.38760375976562
MS$FOCUSED_ION: BASE_PEAK 373.16456
MS$FOCUSED_ION: PRECURSOR_M/Z 373.16456
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
MS$DATA_PROCESSING: Converted with library_to_massbank.py
PK$SPLASH: splash10-0f9j-0391000000-67bee6ec869624670a6e
PK$NUM_PEAK: 310
PK$PEAK: m/z int. rel.int.
  111.04621 0.0136519 14
  111.08083 0.0135097 13
  112.01424 0.0081058 8
  115.05301 0.039818 40
  117.07111 0.0314278 31
  119.08725 0.0182025 18
  119.13335 0.0196246 20
  121.06526 0.011661 12
  123.04469 0.0681172 68
  127.05470 0.0204778 20
  128.05992 0.00696815 7
  129.07133 0.0497725 50
  130.07511 0.0143629 14
  131.05011 0.0325654 33
  131.08541 0.0807736 81
  132.08984 0.0156428 16
  137.06162 0.0105233 11
  141.07272 0.0257395 26
  143.08891 0.0938567 94
  144.08816 0.0109499 11
  145.06430 0.0129408 13
  145.10160 0.0490614 49
  147.04436 0.0695392 69
  147.08147 0.0265927 27
  148.44860 0.00654152 7
  149.05719 0.0304323 30
  149.09538 0.0149317 15
  150.06340 0.019198 19
  151.03839 0.0119454 12
  151.04993 0.00554608 6
  153.09128 0.0641354 64
  153.10429 0.00910125 9
  154.07744 0.0115188 12
  157.10156 0.0149317 15
  158.07146 0.0201934 20
  159.08031 0.0610068 61
  159.08775 0.0307167 31
  159.98486 0.0061149 6
  160.04818 0.0106655 11
  160.08380 0.0102389 10
  161.05835 0.121303 121
  161.09474 0.0127986 13
  162.06325 0.0676906 68
  163.07424 0.00739477 7
  163.08422 0.0122298 12
  165.06982 0.0452218 45
  165.07510 0.0474972 47
  165.08993 0.00796359 8
  166.07622 0.0120876 12
  167.08919 0.0304323 30
  169.09744 0.0169226 17
  169.10761 0.0183447 18
  170.07317 0.0108077 11
  170.10377 0.0145051 14
  171.07830 0.0187713 19
  173.06026 0.23777 238
  174.06101 0.0328498 33
  175.07461 0.0509101 51
  177.05324 0.0861775 86
  177.06925 0.0176337 18
  178.05933 0.0132253 13
  179.08357 0.0267349 27
  181.06502 0.089306 89
  181.10216 0.0285836 29
  182.07680 0.00952787 10
  182.10274 0.0244596 24
  182.37875 0.0059727 6
  183.11462 0.015785 16
  184.08324 0.0140785 14
  185.05702 0.0280148 28
  186.06653 0.024744 25
  187.07508 1 999
  187.09034 0.0172071 17
  188.07925 0.158845 159
  188.11837 0.00568828 6
  189.05350 0.048777 49
  189.07215 0.0129408 13
  189.08720 0.0153584 15
  189.09366 0.0140785 14
  190.07362 0.0102389 10
  190.08872 0.0176337 18
  191.07774 0.00967008 10
  193.07000 0.0103811 10
  195.08102 0.0321388 32
  195.11848 0.0127986 13
  197.05912 0.0755119 75
  197.07455 0.00682594 7
  198.13439 0.0189135 19
  199.07613 0.249716 249
  200.08109 0.0718146 72
  201.05589 0.108646 109
  201.09326 0.0873151 87
  202.05520 0.0129408 13
  202.07743 0.0113766 11
  202.09745 0.016496 16
  203.03694 0.0125142 13
  203.08375 0.0189135 19
  203.11050 0.0140785 14
  205.04117 0.0519056 52
  205.04889 0.0914391 91
  205.05909 0.0217577 22
  205.10043 0.0317122 32
  205.11964 0.0218999 22
  205.89993 0.00696815 7
  206.05258 0.00981229 10
  207.08191 0.0550341 55
  207.10026 0.0133675 13
  209.05518 0.0301479 30
  209.09498 0.0301479 30
  209.13117 0.0132253 13
  209.17868 0.00711035 7
  210.06691 0.064562 64
  211.07597 0.286974 287
  211.11290 0.00910125 9
  212.07588 0.0924346 92
  212.07987 0.0924346 92
  212.09133 0.0162116 16
  212.42405 0.00711035 7
  213.09090 0.0627133 63
  214.05954 0.0100967 10
  214.09158 0.0238908 24
  214.09844 0.00895904 9
  216.07362 0.0177759 18
  217.08436 0.0624289 62
  217.09642 0.0230375 23
  218.07173 0.03157 32
  219.06613 0.0254551 25
  219.07888 0.0200512 20
  219.11707 0.0169226 17
  220.09064 0.0120876 12
  221.13323 0.0349829 35
  221.74368 0.00995449 10
  222.09787 0.0312856 31
  222.13517 0.00639932 6
  223.07752 0.150313 150
  223.11775 0.00881684 9
  224.08004 0.122725 123
  225.09015 0.437144 437
  225.17861 0.00782139 8
  226.09204 0.155006 155
  227.06977 0.0103811 10
  227.08391 0.0145051 14
  227.10731 0.0435154 43
  227.28903 0.00668373 7
  230.10637 0.0119454 12
  231.06598 0.0216155 22
  231.08155 0.0706769 71
  232.08743 0.0342719 34
  232.11814 0.0189135 19
  233.09233 0.0443686 44
  233.09609 0.0443686 44
  234.06688 0.0136519 14
  234.09799 0.00554608 6
  235.07456 0.0918658 92
  235.08986 0.0118032 12
  235.10425 0.0200512 20
  235.11553 0.0236064 24
  236.07745 0.0392491 39
  236.08382 0.0392491 39
  237.05100 0.0193402 19
  237.08937 0.138367 138
  237.12808 0.00995449 10
  238.09731 0.024033 24
  239.07296 0.0186291 19
  239.10301 0.137372 137
  239.79720 0.0108077 11
  240.11220 0.0463595 46
  241.05115 0.00711035 7
  241.08794 0.0378271 38
  241.12154 0.11789 118
  241.68299 0.0059727 6
  243.06865 0.0182025 18
  243.08034 0.0285836 29
  243.10279 0.0120876 12
  244.10866 0.0137941 14
  244.19176 0.00554608 6
  245.08185 0.0548919 55
  245.09456 0.00839022 8
  246.08244 0.0147895 15
  246.10207 0.00668373 7
  247.07345 0.0501991 50
  247.10920 0.00995449 10
  248.08003 0.063851 64
  248.08882 0.00853242 9
  249.09021 0.349118 349
  249.12468 0.0113766 11
  250.09716 0.162827 163
  251.06656 0.0345563 35
  251.07399 0.0174915 17
  251.09382 0.0153584 15
  251.10711 0.480091 480
  251.11861 0.0136519 14
  252.07136 0.0119454 12
  252.10891 0.0969852 97
  253.09725 0.0217577 22
  253.12285 0.274175 274
  253.15781 0.0132253 13
  254.08279 0.0284414 28
  254.12661 0.0430887 43
  254.13686 0.0113766 11
  255.07034 0.0159272 16
  257.07953 0.0268771 27
  257.11546 0.0210466 21
  258.08705 0.0194824 19
  258.10623 0.0318544 32
